seq_name,fps,duration,w,h,bitrate,codec,preset,vmaf,psnr_y,float_ssim,real,user,sys,actual_bitrate
vegetables_tuil_4k,59.94006309148264984227,10.009999,3840,2160,800,libsvtav1,2,86.00717937833332,45.17703177333332,0.994926596666667,11:53.09,2774.14,18.09,581.02
vegetables_tuil_4k,59.94006309148264984227,10.009999,3840,2160,8000,libsvtav1,2,94.797326105,48.23121050166669,0.9986837316666661,54:48.10,12978.60,31.00,5938.09
vegetables_tuil_4k,59.94006309148264984227,10.009999,3840,2160,900,libsvtav1,2,87.85326129999993,45.6754445933333,0.995727,14:33.35,3233.64,38.92,676.42
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,12000,libx265,8,66.13471271619368,33.1675228814691,0.9493760984974963,0:23.39,83.25,3.01,11519.13
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,12000,libaom-av1,8,75.64407533555928,35.109084110183616,0.9557061051752926,3:00.39,614.61,2.71,12259.7
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,16000,libx265,8,72.78701583806343,34.149070772954936,0.9618094323873129,0:25.44,86.65,2.28,15527.49
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,16000,libaom-av1,8,81.51085514524205,36.03883270283807,0.9668585742904816,3:41.72,753.69,2.85,16417.8
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,20000,libx265,8,77.82255934390662,34.97298927712852,0.9699658030050089,0:25.36,90.63,2.43,19586.72
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,20000,libaom-av1,8,85.79160105676132,36.83598579632724,0.9742160868113526,3:57.15,807.58,2.71,20829.12
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,24000,libx265,8,81.66086213856431,35.6755377996661,0.9756164490818023,0:25.38,93.86,2.12,23634.78
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,24000,libaom-av1,8,89.28841768614356,37.574167220367315,0.9799313288814689,4:08.86,846.87,2.82,25668.76
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,28000,libx265,8,84.7743736794658,36.31742456427379,0.9797638681135221,0:25.28,96.81,2.74,27733.61
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,28000,libaom-av1,8,91.89592000834728,38.2447407078464,0.9839230884808011,4:39.88,866.10,6.35,30949.15
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,32000,libx265,8,87.29298286811348,36.89131439565948,0.9829391936560935,0:25.29,100.00,2.58,31842.59
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,32000,libaom-av1,8,93.80093335726212,38.86141670450753,0.9869614156928206,4:32.79,924.06,3.10,36561.7
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,36000,libx265,8,89.29212161936556,37.40613695993325,0.9854024307178628,0:11.44,103.49,2.57,35883.3
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,36000,libaom-av1,8,95.0939060283806,39.430247979966666,0.9892498848080136,4:33.42,922.63,2.82,41820.94
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,40000,libx265,8,90.89207223038402,37.88142175292155,0.9873701769616016,0:11.68,105.64,2.56,39941.22
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,40000,libaom-av1,8,95.9693996360602,39.9534615325543,0.9909524624373958,4:37.31,928.25,4.79,47152.38
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,8000,libx265,8,56.60070260601003,31.914575026711194,0.9278805125208683,0:11.42,77.18,2.23,7549.26
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,8000,libaom-av1,8,67.55846181803004,33.950551893155286,0.9386144557596,2:57.54,601.93,2.82,8305.4
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,12000,libsvtav1,13,75.0423550100167,33.99458885809682,0.9554787078464115,0:10.99,29.55,2.48,12524.07
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,16000,libsvtav1,13,80.84143009849758,34.93692524707845,0.9661494557595999,0:13.95,37.75,4.06,16747.61
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,20000,libsvtav1,13,84.87769041402339,35.74366314858096,0.9725651953255424,0:13.20,38.02,2.71,21024.89
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,24000,libsvtav1,13,88.16209559265445,36.43796380801335,0.9779973572621045,0:13.84,40.29,2.75,25333.22
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,28000,libsvtav1,13,91.00870462771276,37.1205035308848,0.982509442404008,0:11.82,40.89,2.73,29924.48
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,32000,libsvtav1,13,92.3252975492487,37.5853369382304,0.9841947412353933,0:12.15,41.95,2.72,33854.46
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,36000,libsvtav1,13,93.53853102003345,38.09500514858098,0.9863202253756258,0:17.26,49.84,3.64,38269.83
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,40000,libsvtav1,13,95.08832850751256,38.59543077295494,0.9888100217028376,0:17.53,52.63,3.62,43038.22
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,8000,libsvtav1,13,66.17328046243743,32.765815450751234,0.9374864140233715,0:12.23,34.40,2.69,8227.16
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,12000,libx265,3,68.77507626878126,33.41947831385641,0.9535535175292158,1:26.15,336.60,2.56,11481.32
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,12000,libaom-av1,4,79.24809524540899,35.81889356427378,0.9628337896494167,28:05.40,4673.75,4.38,14116.87
water_netflix_1080p,59.94006309148264984227,9.993316,1920,1080,16000,libx265,3,75.40212618530879,34.463538527545914,0.9657540851419044,1:34.61,374.74,2.66,15577.45
