Dettagli risparmio bitrate per intervallo di VMAF:
                     seq_name  vmaf_bin           codec  bitrate_savings_%
        vegetables_tuil_1080p        94       libsvtav1          50.505230
        vegetables_tuil_1080p        80 libvvenc_1.12.1          60.924928
        vegetables_tuil_1080p        90 libvvenc_1.12.1          56.823699
        vegetables_tuil_1080p        92 libvvenc_1.12.1          49.246624
        vegetables_tuil_1080p        94 libvvenc_1.12.1          55.131496

Risparmio medio di bitrate per sequenza e codec:
                     seq_name           codec  bitrate_savings_%
          CSGO_30fps_30sec_v2      libaom-av1          37.050918
          CSGO_30fps_30sec_v2       libsvtav1          42.016564
          CSGO_30fps_30sec_v2 libvvenc_1.12.1          43.662942
Daydreamer_SDR_8s_1920x1080_8      libaom-av1          45.589423
Daydreamer_SDR_8s_1920x1080_8       libsvtav1          30.870053
Daydreamer_SDR_8s_1920x1080_8 libvvenc_1.12.1          29.912089
Daydreamer_SDR_8s_3840x2160_8      libaom-av1          18.153634
Daydreamer_SDR_8s_3840x2160_8       libsvtav1          21.510724
Daydreamer_SDR_8s_3840x2160_8 libvvenc_1.12.1           0.921138
   Hearthstone_30fps_30sec_v2      libaom-av1          57.772588
   Hearthstone_30fps_30sec_v2       libsvtav1          43.521769
   Hearthstone_30fps_30sec_v2 libvvenc_1.12.1           1.553839
          Sparks_cut_13_1080p      libaom-av1          57.493911
          Sparks_cut_13_1080p       libsvtav1          58.597018
          Sparks_cut_13_1080p libvvenc_1.12.1          59.446937
             Sparks_cut_13_4k      libaom-av1          58.657308
             Sparks_cut_13_4k       libsvtav1          48.871674
             Sparks_cut_13_4k libvvenc_1.12.1          44.879236
          Sparks_cut_15_1080p       libsvtav1          18.362330
          Sparks_cut_15_1080p libvvenc_1.12.1          30.852871
             Sparks_cut_15_4K      libaom-av1          34.602449
             Sparks_cut_15_4K       libsvtav1          29.554183
             Sparks_cut_15_4K libvvenc_1.12.1          37.140571
        bigbuck_bunny_8bit_4k      libaom-av1          54.433507
        bigbuck_bunny_8bit_4k       libsvtav1          49.185879
        bigbuck_bunny_8bit_4k libvvenc_1.12.1          45.853596
    cutting_orange_tuil_1080p      libaom-av1          59.968834
    cutting_orange_tuil_1080p       libsvtav1          51.174142
    cutting_orange_tuil_1080p libvvenc_1.12.1          41.880795
       cutting_orange_tuil_4k      libaom-av1          68.144217
       cutting_orange_tuil_4k       libsvtav1          56.597650
       cutting_orange_tuil_4k libvvenc_1.12.1          47.050401
        vegetables_tuil_1080p      libaom-av1          54.809614
        vegetables_tuil_1080p       libsvtav1          55.036559
        vegetables_tuil_1080p libvvenc_1.12.1          55.531687
           vegetables_tuil_4k      libaom-av1          60.061796
           vegetables_tuil_4k       libsvtav1          59.752948
           vegetables_tuil_4k libvvenc_1.12.1          58.933079
          water_netflix_1080p      libaom-av1           2.599308
          water_netflix_1080p       libsvtav1           7.124429
          water_netflix_1080p libvvenc_1.12.1          12.601779
             water_netflix_4k      libaom-av1         -10.190313
             water_netflix_4k       libsvtav1           8.083260
             water_netflix_4k libvvenc_1.12.1           2.545066

Risparmio medio di bitrate complessivo per ogni codec:
          codec  bitrate_savings_%
     libaom-av1          38.280125
      libsvtav1          37.185873
libvvenc_1.12.1          30.370310
